customer_key,customer_id,full_name,email,address,city,country,store_id,active
1,218,VERA MCCOY,VERA.MCCOY@sakilacustomer.org,1168 Najafabad Parkway,Kabul,Afghanistan,1,1
2,441,MARIO CHEATHAM,MARIO.CHEATHAM@sakilacustomer.org,1924 Shimonoseki Drive,Batna,Algeria,1,1
3,69,JUDY GRAY,JUDY.GRAY@sakilacustomer.org,1031 Daugavpils Parkway,Béchar,Algeria,2,1
4,176,JUNE CARROLL,JUNE.CARROLL@sakilacustomer.org,757 Rustenburg Avenue,Skikda,Algeria,1,1
5,320,ANTHONY SCHWAB,ANTHONY.SCHWAB@sakilacustomer.org,1892 Nabereznyje Telny Lane,Tafuna,American Samoa,2,1
6,528,CLAUDE HERZOG,CLAUDE.HERZOG@sakilacustomer.org,486 Ondo Parkway,Benguela,Angola,1,1
7,383,MARTIN BALES,MARTIN.BALES@sakilacustomer.org,368 Hunuco Boulevard,Namibe,Angola,1,1
8,381,BOBBY BOUDREAU,BOBBY.BOUDREAU@sakilacustomer.org,1368 Maracabo Boulevard,South Hill,Anguilla,2,1
9,359,WILLIE MARKHAM,WILLIE.MARKHAM@sakilacustomer.org,1623 Kingstown Drive,Almirante Brown,Argentina,2,1
10,560,JORDAN ARCHULETA,JORDAN.ARCHULETA@sakilacustomer.org,1229 Varanasi (Benares) Manor,Avellaneda,Argentina,1,1
11,322,JASON MORRISSEY,JASON.MORRISSEY@sakilacustomer.org,1427 A Corua (La Corua) Place,Bahía Blanca,Argentina,1,1
12,24,KIMBERLY LEE,KIMBERLY.LEE@sakilacustomer.org,96 Tafuna Way,Córdoba,Argentina,2,1
13,445,MICHEAL FORMAN,MICHEAL.FORMAN@sakilacustomer.org,203 Tambaram Street,Escobar,Argentina,1,1
14,530,DARRYL ASHCRAFT,DARRYL.ASHCRAFT@sakilacustomer.org,166 Jinchang Street,Ezeiza,Argentina,2,1
15,89,JULIA FLORES,JULIA.FLORES@sakilacustomer.org,1926 El Alto Avenue,La Plata,Argentina,1,1
16,107,FLORENCE WOODS,FLORENCE.WOODS@sakilacustomer.org,1532 Dzerzinsk Way,Merlo,Argentina,1,1
17,585,PERRY SWAFFORD,PERRY.SWAFFORD@sakilacustomer.org,773 Dallas Manor,Quilmes,Argentina,1,1
18,243,LYDIA BURKE,LYDIA.BURKE@sakilacustomer.org,1483 Pathankot Street,San Miguel de Tucumán,Argentina,1,1
19,331,ERIC ROBERT,ERIC.ROBERT@sakilacustomer.org,430 Kumbakonam Drive,Santa Fé,Argentina,1,1
20,405,LEONARD SCHOFIELD,LEONARD.SCHOFIELD@sakilacustomer.org,88 Nagaon Manor,Tandil,Argentina,1,1
21,219,WILLIE HOWELL,WILLIE.HOWELL@sakilacustomer.org,1244 Allappuzha (Alleppey) Place,Vicente López,Argentina,2,1
22,41,STEPHANIE MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,42 Brindisi Place,Yerevan,Armenia,1,1
23,173,AUDREY RAY,AUDREY.RAY@sakilacustomer.org,1010 Klerksdorp Way,Graz,Austria,1,1
24,159,JILL HAWKINS,JILL.HAWKINS@sakilacustomer.org,1440 Compton Place,Linz,Austria,1,1
25,266,NORA HERRERA,NORA.HERRERA@sakilacustomer.org,1587 Loja Manor,Salzburg,Austria,2,1
26,333,ANDREW PURDY,ANDREW.PURDY@sakilacustomer.org,431 Szkesfehrvr Avenue,Baku,Azerbaijan,2,1
27,334,RAYMOND MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org,503 Sogamoso Loop,Sumqayit,Azerbaijan,2,1
28,590,SETH HANNON,SETH.HANNON@sakilacustomer.org,1759 Niznekamsk Avenue,al-Manama,Bahrain,2,1
29,332,STEPHEN QUALLS,STEPHEN.QUALLS@sakilacustomer.org,1838 Tabriz Lane,Dhaka,Bangladesh,1,1
30,329,FRANK WAGGONER,FRANK.WAGGONER@sakilacustomer.org,1816 Bydgoszcz Loop,Jamalpur,Bangladesh,2,1
